key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,18.07299995,left,40.40899992,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.178999901,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,44.773,1,0,160,98,1,159,50,50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,15.4849999,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,15.56299996,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,8.368000031,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.151000023,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,11.1329999,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,11.73100019,1,0,160,33,1,159,8,8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.707000017,1,0,160,97,1,159,50,50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.450999975,1,0,160,88,1,159,-20,-20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,5.664999962,1,0,160,75,1,159,20,20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.981000185,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.481000185,1,0,160,69,1,159,20,20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.245999813,1,0,160,91,1,159,-20,-20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.281999826,1,0,160,9,1,159,5,5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,10.13100004,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.764999866,1,0,160,90,1,159,-20,-20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.270999908,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.100000143,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,left,11.0150001,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.640000105,1,0,160,21,1,159,-5,-5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,TEAM Anne S.,2020-07-31_09h33.46.679,Tymula Experiment,3.2.3,MacIntel,60
