key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,7.760999918,left,12.81100011,1,0,160,41,1,159,8,8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,35.34099984,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,13.28699994,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,4.757999897,1,0,160,65,1,159,20,20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,3.011999846,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,5.225999832,1,0,160,69,1,159,20,20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,9.604999781,1,0,160,83,1,159,-20,-20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,7.240999937,1,0,160,106,1,159,50,50,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,8.727999926,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,4.794999838,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,8.083999872,1,0,160,21,1,159,-5,-5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,left,7.029000044,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,36.05599999,1,0,160,6,1,159,5,5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
,,right,3.618999958,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,company,2020-09-18_10h43.28.480,Tymula Experiment,3.2.3,Win32,60
