key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,9.927999973,left,5.652999878,1,0,160,115,1,159,-50,-50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,8.258000135,1,0,160,58,1,159,-8,-8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,6.745000124,1,0,160,16,1,159,-5,-5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,6.029999971,1,0,160,38,1,159,8,8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,11.57499981,1,0,160,30,1,159,-5,-5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,1.330999851,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.481999874,1,0,160,48,1,159,-8,-8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.028999805,1,0,160,14,1,159,5,5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.125999928,1,0,160,25,1,159,-5,-5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.822000027,1,0,160,106,1,159,50,50,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,5.805999994,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.144999981,1,0,160,12,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,11.17499995,1,0,160,83,1,159,-20,-20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.129999876,1,0,160,33,1,159,8,8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,6.832999945,1,0,160,144,1,159,-125,-125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,6.328999758,1,0,160,109,1,159,50,50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,7.846999884,1,0,160,147,1,159,-125,-125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.947000027,1,0,160,19,1,159,-5,-5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,1.747999907,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,10.89299989,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.544999838,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.263000011,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.499000072,1,0,160,97,1,159,50,50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.512000084,1,0,160,2,1,159,5,5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,1.907999992,1,0,160,114,1,159,-50,-50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.145999908,1,0,160,98,1,159,50,50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,6.447999954,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,8.105000019,1,0,160,22,1,159,-5,-5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,1.194999933,1,0,160,105,1,159,50,50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,5.626999855,1,0,160,18,1,159,-5,-5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,13.99699998,1,0,160,49,1,159,-8,-8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.010999918,1,0,160,13,1,159,5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,9.500999928,1,0,160,47,1,159,8,8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.447999716,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,6.201999903,1,0,160,27,1,159,-5,-5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.154999971,1,0,160,87,1,159,-20,-20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.36199975,1,0,160,23,1,159,-5,-5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,6.013999939,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,5.066999912,1,0,160,62,1,159,-8,-8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.148000002,1,0,160,153,1,159,-125,-125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.44299984,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.796999931,1,0,160,71,1,159,20,20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.102999926,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,6.363999844,1,0,160,56,1,159,-8,-8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.38499999,1,0,160,76,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.714999914,1,0,160,119,1,159,-50,-50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,1.865999937,1,0,160,59,1,159,-8,-8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.453999996,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.355000019,1,0,160,108,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.629999876,1,0,160,61,1,159,-8,-8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.045000076,1,0,160,91,1,159,-20,-20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.909999847,1,0,160,125,1,159,-50,-50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.194000006,1,0,160,72,1,159,20,20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.370000124,1,0,160,127,1,159,-50,-50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.78399992,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.684999943,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.103999853,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.774999857,1,0,160,118,1,159,-50,-50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.31099987,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.541999817,1,0,160,132,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,6.281999826,1,0,160,96,1,159,50,50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.395999908,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.263999939,1,0,160,145,1,159,-125,-125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.565999985,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
