key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,3.371000051,left,4.444999933,1,0,160,110,1,159,50,50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.912999868,1,0,160,1,1,159,5,5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.815000057,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.700000048,1,0,160,111,1,159,50,50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,3.032000065,1,0,160,128,1,159,125,125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,5.297999859,1,0,160,104,1,159,50,50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,4.30099988,1,0,160,125,1,159,-50,-50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,4.733999968,1,0,160,103,1,159,50,50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.769999981,1,0,160,16,1,159,-5,-5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.569999933,1,0,160,22,1,159,-5,-5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.816999912,1,0,160,8,1,159,5,5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.467999935,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.982000113,1,0,160,31,1,159,-5,-5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.615999937,1,0,160,107,1,159,50,50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.270999908,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.713000059,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,4.351000071,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.144999981,1,0,160,114,1,159,-50,-50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.903999805,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.115999937,1,0,160,102,1,159,50,50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.546999931,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.563000202,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.60800004,1,0,160,67,1,159,20,20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.697000027,1,0,160,91,1,159,-20,-20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.329999924,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.464999914,1,0,160,49,1,159,-8,-8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
