key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,14.69300008,right,28.71399999,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,7.058000088,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,5.141000032,1,0,160,98,1,159,50,50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,4.108999968,1,0,160,74,1,159,20,20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,9.421000004,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,6.907000065,1,0,160,51,1,159,-8,-8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,9.236000061,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,10.33200002,1,0,160,27,1,159,-5,-5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,6.121999979,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,10.24500012,1,0,160,112,1,159,-50,-50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,4.790999889,1,0,160,108,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,7.40199995,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,6.808000088,1,0,160,138,1,159,125,125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,3.029999971,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,4.162000179,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,3.044000149,1,0,160,39,1,159,8,8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,3.726000071,1,0,160,77,1,159,20,20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,5.726000071,1,0,160,135,1,159,125,125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,5.59100008,1,0,160,82,1,159,-20,-20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,10.87600017,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,4.481999874,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,3.944999933,1,0,160,75,1,159,20,20,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,10.66199994,1,0,160,158,1,159,-125,-125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,1.598999977,1,0,160,32,1,159,8,8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,4.616999865,1,0,160,130,1,159,125,125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,6.871000051,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,4.228000164,1,0,160,42,1,159,8,8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,7.073000193,1,0,160,117,1,159,-50,-50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,right,6.375999928,1,0,160,80,1,159,-20,-20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,3.296000004,1,0,160,72,1,159,20,20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
,,left,3.128000021,1,0,160,6,1,159,5,5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,issue,2020-06-28_14h44.49.658,Tymula Experiment,3.2.3,Win32,60
