key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,10.46200013,left,24.86300015,1,0,160,89,1,159,-20,-20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,9.003999949,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,17.06200004,1,0,160,5,1,159,5,5,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,5.006000042,1,0,160,105,1,159,50,50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,3.536000252,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,5.907999992,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.154999971,1,0,160,133,1,159,125,125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,4.211000204,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,2.943000078,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.239000082,1,0,160,69,1,159,20,20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,3.791000128,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.32400012,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,7.962000132,1,0,160,1,1,159,5,5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,5.950000048,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,7.690999985,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,6.870000124,1,0,160,62,1,159,-8,-8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,4.599000216,1,0,160,93,1,159,-20,-20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.637000084,1,0,160,11,1,159,5,5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.976999998,1,0,160,113,1,159,-50,-50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.730000019,1,0,160,35,1,159,8,8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.746000051,1,0,160,149,1,159,-125,-125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,2.742000103,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,5.016000032,1,0,160,97,1,159,50,50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,9.808000088,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,1.453000069,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.879000187,1,0,160,25,1,159,-5,-5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.674000263,1,0,160,107,1,159,50,50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,6.946000099,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.606000185,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,7.073999882,1,0,160,37,1,159,8,8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.318000078,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,4.579999924,1,0,160,125,1,159,-50,-50,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,4.726000071,1,0,160,147,1,159,-125,-125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,6.524000168,1,0,160,104,1,159,50,50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.710000038,1,0,160,157,1,159,-125,-125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,4.162000179,1,0,160,31,1,159,-5,-5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.738000154,1,0,160,40,1,159,8,8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.779000044,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.278000116,1,0,160,61,1,159,-8,-8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,5.856000185,1,0,160,68,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.539999962,1,0,160,84,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.012000084,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,left,2.444000244,1,0,160,135,1,159,125,125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
,,right,3.941000223,1,0,160,117,1,159,-50,-50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,place,2020-06-29_14h12.51.844,Tymula Experiment,3.2.3,Linux x86_64,60
