key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,19.01999998,right,22.32500029,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,18.31700039,1,0,160,141,1,159,125,125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,6.953000069,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,4.395000219,1,0,160,94,1,159,-20,-20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,21.61800003,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,27.1960001,1,0,160,38,1,159,8,8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,7.362000227,1,0,160,55,1,159,-8,-8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,9.995000124,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,6.595000029,1,0,160,49,1,159,-8,-8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,7.576000214,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,9.283000231,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,6.091000319,1,0,160,146,1,159,-125,-125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,3.955000162,1,0,160,112,1,159,-50,-50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,10.9000001,1,0,160,40,1,159,8,8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,4.075999975,1,0,160,101,1,159,50,50,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,2.506000042,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,9.63100028,1,0,160,43,1,159,8,8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,9.575000048,1,0,160,7,1,159,5,5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,5.067000151,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,5.390000105,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,6.792000055,1,0,160,147,1,159,-125,-125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,3.492000341,1,0,160,82,1,159,-20,-20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,2.713000059,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,10.78100014,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,2.787000179,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,3.332000256,1,0,160,118,1,159,-50,-50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,2.520000219,1,0,160,51,1,159,-8,-8,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,4.330000162,1,0,160,124,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,2.085999966,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,3.758000374,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,4.735000134,1,0,160,52,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.93900013,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,3.850000143,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,2.513000011,1,0,160,9,1,159,5,5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.916000128,1,0,160,148,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,6.251000166,1,0,160,119,1,159,-50,-50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,9.457000256,1,0,160,137,1,159,125,125,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,2.366000175,1,0,160,126,1,159,-50,-50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.981000185,1,0,160,72,1,159,20,20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.86400032,1,0,160,59,1,159,-8,-8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.842000008,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.608999968,1,0,160,50,1,159,-8,-8,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,1.834000111,1,0,160,68,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,left,1.461000204,1,0,160,128,1,159,125,125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,2.50600028,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,2.164000273,1,0,160,151,1,159,-125,-125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
,,right,1.505000114,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,program,2020-07-29_13h57.43.074,Tymula Experiment,3.2.3,Win32,60
