key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,13.55299973,right,10.01899981,1,0,160,141,1,159,125,125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,7.349999905,1,0,160,78,1,159,20,20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,18.04999995,1,0,160,84,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,5.31799984,1,0,160,113,1,159,-50,-50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,5.612999916,1,0,160,32,1,159,8,8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,4.096999884,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,9.967999697,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,5.586999893,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,4.751999855,1,0,160,41,1,159,8,8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,7.417999983,1,0,160,89,1,159,-20,-20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,5.330999851,1,0,160,0,1,159,5,5,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,4.167000055,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,5.345999956,1,0,160,10,1,159,5,5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,4.281999826,1,0,160,124,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,7.030999899,1,0,160,22,1,159,-5,-5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.695999861,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,3.368999958,1,0,160,134,1,159,125,125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,4.481999874,1,0,160,30,1,159,-5,-5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,8.296000004,1,0,160,158,1,159,-125,-125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,3.049000025,1,0,160,46,1,159,8,8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,4.099999666,1,0,160,140,1,159,125,125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,7.546999931,1,0,160,25,1,159,-5,-5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,5.116999865,1,0,160,45,1,159,8,8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,9.897999763,1,0,160,118,1,159,-50,-50,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.795999765,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.982999802,1,0,160,43,1,159,8,8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,5.078999996,1,0,160,156,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.582000017,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.397000074,1,0,160,131,1,159,125,125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,6.364999771,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.697999954,1,0,160,128,1,159,125,125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,4.10199976,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.480999947,1,0,160,133,1,159,125,125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.051999807,1,0,160,15,1,159,5,5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,1.967000008,1,0,160,13,1,159,5,5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,3.35199976,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,6.580999851,1,0,160,145,1,159,-125,-125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.86500001,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,4.545999765,1,0,160,119,1,159,-50,-50,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,2.661999702,1,0,160,19,1,159,-5,-5,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,1.430999994,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,1.602999687,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,1.832000017,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,6.464999676,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,3.09499979,1,0,160,64,1,159,20,20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.152999878,1,0,160,48,1,159,-8,-8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,right,2.07799983,1,0,160,67,1,159,20,20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
,,left,3.015999794,1,0,160,2,1,159,5,5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,room,2020-07-29_11h48.05.112,Tymula Experiment,3.2.3,Win32,60
