key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
space,12.27600002,right,10.73700023,1,0,160,11,1,159,5,5,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,21.55800033,1,0,160,85,1,159,-20,-20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,25.74000025,1,0,160,127,1,159,-50,-50,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,37.43600011,1,0,160,139,1,159,125,125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,62.40300012,1,0,160,9,1,159,5,5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,12.21000028,1,0,160,99,1,159,50,50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,11.82800007,1,0,160,49,1,159,-8,-8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,25.94900012,1,0,160,48,1,159,-8,-8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,12.17900014,1,0,160,94,1,159,-20,-20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,6.39800024,1,0,160,115,1,159,-50,-50,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,7.056000233,1,0,160,41,1,159,8,8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,11.53500032,1,0,160,70,1,159,20,20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,8.20600009,1,0,160,152,1,159,-125,-125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,11.829,1,0,160,159,1,159,-125,-125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,10.88300014,1,0,160,25,1,159,-5,-5,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,15.99900031,1,0,160,17,1,159,-5,-5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,14.9000001,1,0,160,42,1,159,8,8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,16.17400026,1,0,160,83,1,159,-20,-20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,11.39500022,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,25.17000008,1,0,160,60,1,159,-8,-8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,14.66800022,1,0,160,120,1,159,-50,-50,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,12.62900019,1,0,160,112,1,159,-50,-50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,8.054000139,1,0,160,98,1,159,50,50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,17.49300003,1,0,160,45,1,159,8,8,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,27.32800031,1,0,160,82,1,159,-20,-20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,9.481000185,1,0,160,69,1,159,20,20,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,15.84700012,1,0,160,84,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,14.43200016,1,0,160,86,1,159,-20,-20,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
